n:1 mse_avg:10.48 mse_y:12.63 mse_u:5.40 mse_v:6.94 psnr_avg:37.93 psnr_y:37.12 psnr_u:40.81 psnr_v:39.72 
n:62 mse_avg:365.87 mse_y:525.87 mse_u:28.20 mse_v:63.59 psnr_avg:22.50 psnr_y:20.92 psnr_u:33.63 psnr_v:30.10 
n:63 mse_avg:262.99 mse_y:376.03 mse_u:24.56 mse_v:49.24 psnr_avg:23.93 psnr_y:22.38 psnr_u:34.23 psnr_v:31.21 
n:64 mse_avg:347.26 mse_y:499.67 mse_u:25.71 mse_v:59.13 psnr_avg:22.72 psnr_y:21.14 psnr_u:34.03 psnr_v:30.41 
n:65 mse_avg:354.43 mse_y:509.73 mse_u:25.53 mse_v:62.16 psnr_avg:22.64 psnr_y:21.06 psnr_u:34.06 psnr_v:30.20 
n:66 mse_avg:273.19 mse_y:391.73 mse_u:22.65 mse_v:49.53 psnr_avg:23.77 psnr_y:22.20 psnr_u:34.58 psnr_v:31.18 
n:67 mse_avg:327.05 mse_y:470.73 mse_u:24.18 mse_v:55.17 psnr_avg:22.98 psnr_y:21.40 psnr_u:34.30 psnr_v:30.71 
n:68 mse_avg:269.20 mse_y:385.98 mse_u:22.56 mse_v:48.73 psnr_avg:23.83 psnr_y:22.27 psnr_u:34.60 psnr_v:31.25 
n:69 mse_avg:294.70 mse_y:422.43 mse_u:23.91 mse_v:54.55 psnr_avg:23.44 psnr_y:21.87 psnr_u:34.35 psnr_v:30.76 
n:70 mse_avg:292.12 mse_y:419.75 mse_u:22.94 mse_v:50.77 psnr_avg:23.48 psnr_y:21.90 psnr_u:34.53 psnr_v:31.07 
n:71 mse_avg:315.80 mse_y:455.52 mse_u:22.35 mse_v:50.32 psnr_avg:23.14 psnr_y:21.55 psnr_u:34.64 psnr_v:31.11 
n:72 mse_avg:326.67 mse_y:471.86 mse_u:22.33 mse_v:50.27 psnr_avg:22.99 psnr_y:21.39 psnr_u:34.64 psnr_v:31.12 
n:73 mse_avg:342.77 mse_y:495.42 mse_u:22.26 mse_v:52.71 psnr_avg:22.78 psnr_y:21.18 psnr_u:34.66 psnr_v:30.91 
n:74 mse_avg:428.20 mse_y:619.68 mse_u:25.55 mse_v:64.95 psnr_avg:21.81 psnr_y:20.21 psnr_u:34.06 psnr_v:30.01 
n:75 mse_avg:420.22 mse_y:607.86 mse_u:25.10 mse_v:64.80 psnr_avg:21.90 psnr_y:20.29 psnr_u:34.13 psnr_v:30.01 
n:76 mse_avg:413.04 mse_y:597.43 mse_u:24.94 mse_v:63.60 psnr_avg:21.97 psnr_y:20.37 psnr_u:34.16 psnr_v:30.10 
n:77 mse_avg:407.78 mse_y:589.92 mse_u:25.04 mse_v:61.93 psnr_avg:22.03 psnr_y:20.42 psnr_u:34.14 psnr_v:30.21 
n:78 mse_avg:390.88 mse_y:565.59 mse_u:24.03 mse_v:58.93 psnr_avg:22.21 psnr_y:20.61 psnr_u:34.32 psnr_v:30.43 
n:79 mse_avg:408.54 mse_y:591.08 mse_u:25.32 mse_v:61.58 psnr_avg:22.02 psnr_y:20.41 psnr_u:34.10 psnr_v:30.24 
n:80 mse_avg:400.31 mse_y:579.41 mse_u:24.46 mse_v:59.75 psnr_avg:22.11 psnr_y:20.50 psnr_u:34.25 psnr_v:30.37 
n:81 mse_avg:398.64 mse_y:576.97 mse_u:24.59 mse_v:59.36 psnr_avg:22.13 psnr_y:20.52 psnr_u:34.22 psnr_v:30.40 
n:82 mse_avg:408.86 mse_y:592.17 mse_u:24.64 mse_v:59.85 psnr_avg:22.02 psnr_y:20.41 psnr_u:34.21 psnr_v:30.36 
n:83 mse_avg:403.64 mse_y:584.48 mse_u:24.24 mse_v:59.69 psnr_avg:22.07 psnr_y:20.46 psnr_u:34.29 psnr_v:30.37 
n:84 mse_avg:400.36 mse_y:579.88 mse_u:23.95 mse_v:58.69 psnr_avg:22.11 psnr_y:20.50 psnr_u:34.34 psnr_v:30.45 
n:85 mse_avg:396.52 mse_y:574.14 mse_u:24.07 mse_v:58.51 psnr_avg:22.15 psnr_y:20.54 psnr_u:34.32 psnr_v:30.46 
n:86 mse_avg:405.86 mse_y:587.60 mse_u:24.86 mse_v:59.91 psnr_avg:22.05 psnr_y:20.44 psnr_u:34.18 psnr_v:30.36 
n:87 mse_avg:408.83 mse_y:592.07 mse_u:25.03 mse_v:59.64 psnr_avg:22.02 psnr_y:20.41 psnr_u:34.15 psnr_v:30.38 
n:88 mse_avg:409.04 mse_y:592.52 mse_u:24.81 mse_v:59.32 psnr_avg:22.01 psnr_y:20.40 psnr_u:34.18 psnr_v:30.40 
n:89 mse_avg:410.44 mse_y:594.61 mse_u:24.80 mse_v:59.40 psnr_avg:22.00 psnr_y:20.39 psnr_u:34.19 psnr_v:30.39 
n:90 mse_avg:411.41 mse_y:595.76 mse_u:25.14 mse_v:60.27 psnr_avg:21.99 psnr_y:20.38 psnr_u:34.13 psnr_v:30.33 
n:91 mse_avg:411.29 mse_y:595.56 mse_u:25.11 mse_v:60.39 psnr_avg:21.99 psnr_y:20.38 psnr_u:34.13 psnr_v:30.32 
n:92 mse_avg:410.33 mse_y:594.12 mse_u:25.11 mse_v:60.40 psnr_avg:22.00 psnr_y:20.39 psnr_u:34.13 psnr_v:30.32 
n:93 mse_avg:405.87 mse_y:587.48 mse_u:25.22 mse_v:60.09 psnr_avg:22.05 psnr_y:20.44 psnr_u:34.11 psnr_v:30.34 
n:94 mse_avg:405.87 mse_y:587.48 mse_u:25.22 mse_v:60.09 psnr_avg:22.05 psnr_y:20.44 psnr_u:34.11 psnr_v:30.34 
n:95 mse_avg:403.41 mse_y:583.80 mse_u:25.20 mse_v:60.08 psnr_avg:22.07 psnr_y:20.47 psnr_u:34.12 psnr_v:30.34 
n:96 mse_avg:400.62 mse_y:579.70 mse_u:25.02 mse_v:59.88 psnr_avg:22.10 psnr_y:20.50 psnr_u:34.15 psnr_v:30.36 
n:97 mse_avg:400.46 mse_y:579.46 mse_u:25.01 mse_v:59.90 psnr_avg:22.11 psnr_y:20.50 psnr_u:34.15 psnr_v:30.36 
n:98 mse_avg:406.31 mse_y:588.04 mse_u:25.28 mse_v:60.39 psnr_avg:22.04 psnr_y:20.44 psnr_u:34.10 psnr_v:30.32 
n:99 mse_avg:407.12 mse_y:588.92 mse_u:25.56 mse_v:61.47 psnr_avg:22.03 psnr_y:20.43 psnr_u:34.05 psnr_v:30.24 
n:100 mse_avg:406.47 mse_y:587.95 mse_u:25.56 mse_v:61.47 psnr_avg:22.04 psnr_y:20.44 psnr_u:34.05 psnr_v:30.24 
n:101 mse_avg:414.20 mse_y:599.22 mse_u:26.03 mse_v:62.28 psnr_avg:21.96 psnr_y:20.35 psnr_u:33.98 psnr_v:30.19 
n:102 mse_avg:395.45 mse_y:571.97 mse_u:24.97 mse_v:59.87 psnr_avg:22.16 psnr_y:20.56 psnr_u:34.16 psnr_v:30.36 
n:103 mse_avg:386.78 mse_y:559.20 mse_u:24.91 mse_v:58.97 psnr_avg:22.26 psnr_y:20.66 psnr_u:34.17 psnr_v:30.42 
n:104 mse_avg:394.95 mse_y:570.99 mse_u:25.92 mse_v:59.79 psnr_avg:22.17 psnr_y:20.56 psnr_u:33.99 psnr_v:30.36 
n:105 mse_avg:378.53 mse_y:547.55 mse_u:23.61 mse_v:57.36 psnr_avg:22.35 psnr_y:20.75 psnr_u:34.40 psnr_v:30.55 
n:106 mse_avg:392.53 mse_y:568.02 mse_u:24.06 mse_v:59.04 psnr_avg:22.19 psnr_y:20.59 psnr_u:34.32 psnr_v:30.42 
n:107 mse_avg:404.96 mse_y:586.17 mse_u:24.53 mse_v:60.54 psnr_avg:22.06 psnr_y:20.45 psnr_u:34.23 psnr_v:30.31 
n:108 mse_avg:400.38 mse_y:579.25 mse_u:24.20 mse_v:61.10 psnr_avg:22.11 psnr_y:20.50 psnr_u:34.29 psnr_v:30.27 
n:109 mse_avg:431.63 mse_y:624.96 mse_u:25.63 mse_v:64.30 psnr_avg:21.78 psnr_y:20.17 psnr_u:34.04 psnr_v:30.05 
n:110 mse_avg:421.64 mse_y:610.05 mse_u:25.14 mse_v:64.47 psnr_avg:21.88 psnr_y:20.28 psnr_u:34.13 psnr_v:30.04 
n:111 mse_avg:409.64 mse_y:592.27 mse_u:24.72 mse_v:64.03 psnr_avg:22.01 psnr_y:20.41 psnr_u:34.20 psnr_v:30.07 
n:112 mse_avg:421.66 mse_y:609.95 mse_u:24.94 mse_v:65.26 psnr_avg:21.88 psnr_y:20.28 psnr_u:34.16 psnr_v:29.98 
n:113 mse_avg:424.43 mse_y:613.88 mse_u:25.08 mse_v:66.00 psnr_avg:21.85 psnr_y:20.25 psnr_u:34.14 psnr_v:29.94 
n:114 mse_avg:379.48 mse_y:548.84 mse_u:23.56 mse_v:57.93 psnr_avg:22.34 psnr_y:20.74 psnr_u:34.41 psnr_v:30.50 
n:115 mse_avg:353.16 mse_y:510.68 mse_u:23.39 mse_v:52.88 psnr_avg:22.65 psnr_y:21.05 psnr_u:34.44 psnr_v:30.90 
n:116 mse_avg:338.68 mse_y:486.98 mse_u:24.62 mse_v:59.53 psnr_avg:22.83 psnr_y:21.26 psnr_u:34.22 psnr_v:30.38 
n:117 mse_avg:317.93 mse_y:456.67 mse_u:23.75 mse_v:57.15 psnr_avg:23.11 psnr_y:21.53 psnr_u:34.37 psnr_v:30.56 
n:118 mse_avg:325.61 mse_y:468.12 mse_u:23.71 mse_v:57.45 psnr_avg:23.00 psnr_y:21.43 psnr_u:34.38 psnr_v:30.54 
n:119 mse_avg:311.89 mse_y:447.52 mse_u:23.59 mse_v:57.63 psnr_avg:23.19 psnr_y:21.62 psnr_u:34.40 psnr_v:30.52 
n:120 mse_avg:325.47 mse_y:467.48 mse_u:23.96 mse_v:58.94 psnr_avg:23.01 psnr_y:21.43 psnr_u:34.34 psnr_v:30.43 
n:121 mse_avg:351.59 mse_y:505.01 mse_u:25.67 mse_v:63.80 psnr_avg:22.67 psnr_y:21.10 psnr_u:34.04 psnr_v:30.08 
n:122 mse_avg:303.77 mse_y:435.03 mse_u:24.15 mse_v:58.37 psnr_avg:23.31 psnr_y:21.75 psnr_u:34.30 psnr_v:30.47 
n:123 mse_avg:301.37 mse_y:431.51 mse_u:23.62 mse_v:58.56 psnr_avg:23.34 psnr_y:21.78 psnr_u:34.40 psnr_v:30.45 
n:124 mse_avg:287.73 mse_y:411.29 mse_u:23.46 mse_v:57.77 psnr_avg:23.54 psnr_y:21.99 psnr_u:34.43 psnr_v:30.51 
n:125 mse_avg:308.82 mse_y:441.66 mse_u:24.70 mse_v:61.58 psnr_avg:23.23 psnr_y:21.68 psnr_u:34.20 psnr_v:30.24 
n:126 mse_avg:303.14 mse_y:433.90 mse_u:23.89 mse_v:59.35 psnr_avg:23.31 psnr_y:21.76 psnr_u:34.35 psnr_v:30.40 
n:127 mse_avg:298.41 mse_y:427.01 mse_u:23.73 mse_v:58.65 psnr_avg:23.38 psnr_y:21.83 psnr_u:34.38 psnr_v:30.45 
n:128 mse_avg:313.59 mse_y:449.52 mse_u:23.81 mse_v:59.65 psnr_avg:23.17 psnr_y:21.60 psnr_u:34.36 psnr_v:30.37 
n:129 mse_avg:329.04 mse_y:472.11 mse_u:24.62 mse_v:61.18 psnr_avg:22.96 psnr_y:21.39 psnr_u:34.22 psnr_v:30.26 
n:130 mse_avg:312.69 mse_y:448.22 mse_u:24.24 mse_v:59.04 psnr_avg:23.18 psnr_y:21.62 psnr_u:34.29 psnr_v:30.42 
n:131 mse_avg:323.06 mse_y:463.63 mse_u:24.33 mse_v:59.50 psnr_avg:23.04 psnr_y:21.47 psnr_u:34.27 psnr_v:30.39 
n:132 mse_avg:319.38 mse_y:458.22 mse_u:24.25 mse_v:59.19 psnr_avg:23.09 psnr_y:21.52 psnr_u:34.28 psnr_v:30.41 
n:133 mse_avg:333.03 mse_y:478.30 mse_u:24.59 mse_v:60.37 psnr_avg:22.91 psnr_y:21.33 psnr_u:34.22 psnr_v:30.32 
n:134 mse_avg:318.40 mse_y:456.38 mse_u:24.41 mse_v:60.45 psnr_avg:23.10 psnr_y:21.54 psnr_u:34.26 psnr_v:30.32 
n:135 mse_avg:302.55 mse_y:432.81 mse_u:24.13 mse_v:59.94 psnr_avg:23.32 psnr_y:21.77 psnr_u:34.30 psnr_v:30.35 
n:136 mse_avg:293.12 mse_y:418.47 mse_u:24.26 mse_v:60.58 psnr_avg:23.46 psnr_y:21.91 psnr_u:34.28 psnr_v:30.31 
n:137 mse_avg:301.83 mse_y:430.53 mse_u:25.39 mse_v:63.47 psnr_avg:23.33 psnr_y:21.79 psnr_u:34.08 psnr_v:30.10 
n:138 mse_avg:284.77 mse_y:405.57 mse_u:25.02 mse_v:61.33 psnr_avg:23.59 psnr_y:22.05 psnr_u:34.15 psnr_v:30.25 
n:139 mse_avg:291.25 mse_y:414.77 mse_u:25.45 mse_v:62.99 psnr_avg:23.49 psnr_y:21.95 psnr_u:34.07 psnr_v:30.14 
n:140 mse_avg:298.52 mse_y:425.06 mse_u:26.16 mse_v:64.73 psnr_avg:23.38 psnr_y:21.85 psnr_u:33.95 psnr_v:30.02 
n:141 mse_avg:302.46 mse_y:430.42 mse_u:26.81 mse_v:66.30 psnr_avg:23.32 psnr_y:21.79 psnr_u:33.85 psnr_v:29.92 
n:142 mse_avg:309.10 mse_y:440.46 mse_u:26.82 mse_v:65.94 psnr_avg:23.23 psnr_y:21.69 psnr_u:33.85 psnr_v:29.94 
n:143 mse_avg:301.46 mse_y:429.04 mse_u:26.66 mse_v:65.96 psnr_avg:23.34 psnr_y:21.81 psnr_u:33.87 psnr_v:29.94 
n:144 mse_avg:313.31 mse_y:446.41 mse_u:27.08 mse_v:67.13 psnr_avg:23.17 psnr_y:21.63 psnr_u:33.80 psnr_v:29.86 
n:145 mse_avg:329.22 mse_y:469.70 mse_u:27.76 mse_v:68.74 psnr_avg:22.96 psnr_y:21.41 psnr_u:33.70 psnr_v:29.76 
n:146 mse_avg:300.52 mse_y:427.14 mse_u:27.66 mse_v:66.93 psnr_avg:23.35 psnr_y:21.83 psnr_u:33.71 psnr_v:29.87 
n:147 mse_avg:292.67 mse_y:415.40 mse_u:27.96 mse_v:66.47 psnr_avg:23.47 psnr_y:21.95 psnr_u:33.67 psnr_v:29.90 
n:148 mse_avg:284.12 mse_y:402.47 mse_u:27.99 mse_v:66.84 psnr_avg:23.60 psnr_y:22.08 psnr_u:33.66 psnr_v:29.88 
n:149 mse_avg:289.92 mse_y:410.58 mse_u:28.48 mse_v:68.69 psnr_avg:23.51 psnr_y:22.00 psnr_u:33.58 psnr_v:29.76 
n:150 mse_avg:289.51 mse_y:409.90 mse_u:28.81 mse_v:68.62 psnr_avg:23.51 psnr_y:22.00 psnr_u:33.54 psnr_v:29.77 
n:151 mse_avg:291.34 mse_y:412.32 mse_u:29.31 mse_v:69.45 psnr_avg:23.49 psnr_y:21.98 psnr_u:33.46 psnr_v:29.71 
n:152 mse_avg:289.53 mse_y:409.58 mse_u:29.19 mse_v:69.66 psnr_avg:23.51 psnr_y:22.01 psnr_u:33.48 psnr_v:29.70 
n:153 mse_avg:300.46 mse_y:425.43 mse_u:29.45 mse_v:71.59 psnr_avg:23.35 psnr_y:21.84 psnr_u:33.44 psnr_v:29.58 
n:154 mse_avg:293.35 mse_y:414.74 mse_u:29.58 mse_v:71.55 psnr_avg:23.46 psnr_y:21.95 psnr_u:33.42 psnr_v:29.58 
n:155 mse_avg:298.63 mse_y:422.33 mse_u:29.90 mse_v:72.56 psnr_avg:23.38 psnr_y:21.87 psnr_u:33.37 psnr_v:29.52 
n:156 mse_avg:308.38 mse_y:436.85 mse_u:30.21 mse_v:72.67 psnr_avg:23.24 psnr_y:21.73 psnr_u:33.33 psnr_v:29.52 
n:157 mse_avg:298.67 mse_y:422.47 mse_u:30.25 mse_v:71.86 psnr_avg:23.38 psnr_y:21.87 psnr_u:33.32 psnr_v:29.57 
n:158 mse_avg:303.28 mse_y:429.37 mse_u:30.36 mse_v:71.82 psnr_avg:23.31 psnr_y:21.80 psnr_u:33.31 psnr_v:29.57 
n:159 mse_avg:306.50 mse_y:434.21 mse_u:30.48 mse_v:71.67 psnr_avg:23.27 psnr_y:21.75 psnr_u:33.29 psnr_v:29.58 
n:160 mse_avg:307.87 mse_y:436.09 mse_u:30.62 mse_v:72.20 psnr_avg:23.25 psnr_y:21.74 psnr_u:33.27 psnr_v:29.55 
n:161 mse_avg:296.17 mse_y:417.69 mse_u:32.12 mse_v:74.17 psnr_avg:23.42 psnr_y:21.92 psnr_u:33.06 psnr_v:29.43 
n:162 mse_avg:275.37 mse_y:386.71 mse_u:31.67 mse_v:73.70 psnr_avg:23.73 psnr_y:22.26 psnr_u:33.12 psnr_v:29.46 
n:163 mse_avg:263.60 mse_y:369.72 mse_u:30.88 mse_v:71.85 psnr_avg:23.92 psnr_y:22.45 psnr_u:33.23 psnr_v:29.57 
n:164 mse_avg:275.18 mse_y:386.30 mse_u:32.00 mse_v:73.87 psnr_avg:23.73 psnr_y:22.26 psnr_u:33.08 psnr_v:29.45 
n:165 mse_avg:264.48 mse_y:370.22 mse_u:32.16 mse_v:73.88 psnr_avg:23.91 psnr_y:22.45 psnr_u:33.06 psnr_v:29.45 
n:166 mse_avg:265.45 mse_y:371.63 mse_u:32.28 mse_v:73.88 psnr_avg:23.89 psnr_y:22.43 psnr_u:33.04 psnr_v:29.45 
n:167 mse_avg:262.94 mse_y:368.05 mse_u:32.15 mse_v:73.28 psnr_avg:23.93 psnr_y:22.47 psnr_u:33.06 psnr_v:29.48 
